YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DataValueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,Geolocation,LocationID,TopicID,QuestionID,ResponseID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2016,2020,NE,Nebraska,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,Number,Number,3504.0,3504.0,,,,,Overall,Overall,,,,,POINT (-99.36572062299967 41.6410409880005),31,CAN,CAN08,,NMBR,OVERALL,OVR,,,,
2015,2019,NE,Nebraska,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,133.1,133.1,,,130.2,136.1,Sex,Female,,,,,POINT (-99.36572062299967 41.6410409880005),31,CAN,CAN08,,AGEADJRATE,SEX,SEXF,,,,
2015,2019,WY,Wyoming,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,"per 100,000",Crude Rate,182.2,182.2,,,176.9,187.6,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-108.10983035299967 43.23554134300048),56,CAN,CAN08,,CRDRATE,RACE,WHT,,,,
2016,2020,MS,Mississippi,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Age-adjusted Rate,537.2,537.2,,,532.0,542.3,Sex,Male,,,,,POINT (-89.53803082499968 32.745510099000455),28,CAN,CAN07,,AGEADJRATE,SEX,SEXM,,,,
2016,2020,KS,Kansas,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,236.2,236.2,,,204.8,270.8,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-98.20078122699965 38.34774030000045),20,CAN,CAN08,,AGEADJRATE,RACE,AIAN,,,,
2015,2019,AK,Alaska,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Crude Rate,418.7,418.7,,,409.2,428.3,Sex,Female,,,,,POINT (-147.72205903599973 64.84507995700051),2,CAN,CAN07,,CRDRATE,SEX,SEXF,,,,
2015,2019,FL,Florida,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Crude Rate,617.9,617.9,,,615.8,620.0,Sex,Female,,,,,POINT (-81.92896053899966 28.932040377000476),12,CAN,CAN07,,CRDRATE,SEX,SEXF,,,,
2016,2020,MN,Minnesota,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Age-adjusted Rate,615.0,615.0,,,583.6,647.6,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-94.79420050299967 46.35564873600049),27,CAN,CAN07,,AGEADJRATE,RACE,AIAN,,,,
2016,2020,DE,Delaware,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Age-adjusted Rate,236.1,236.1,,,214.7,259.0,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic",,,,,POINT (-75.57774116799965 39.008830667000495),10,CAN,CAN07,,AGEADJRATE,RACE,API,,,,
2016,2020,CA,California,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Crude Rate,456.3,456.3,,,443.4,469.5,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-120.99999953799971 37.63864012300047),6,CAN,CAN07,,CRDRATE,RACE,AIAN,,,,
